Time,variables1,variables2,variables3,variables4,variables5
02-01-17 16,44.954765,0.93462926,0.89901035816892,2.57613223670796,0
02-01-17 17,13.975198,0.7046293,0.869349967916549,2.59176604727818,0
02-01-17 18,0,0.39462924,0.724478842114054,2.53199242550637,0
02-01-17 19,0,-0.015370751,0.584218702868819,2.65198028259023,0
02-01-17 20,0,-0.015370751,0.675723541612,2.62346820977078,0
02-01-17 21,0,0.21462925,0.909635768379349,2.36615328960478,0
02-01-17 22,0,-0.5153707,0.971304778012035,1.80816900384455,0
02-01-17 23,0,-0.8953707,0.942190245847343,1.30889751122763,0
03-01-17 00,0,-1.8753707,0.941421263680873,0.923482893340028,0
03-01-17 01,0,-2.725371,0.971068051283981,0.644445107241564,0
03-01-17 02,0,-2.955371,0.949178383490107,0.503103634381963,0
03-01-17 03,0,-3.165371,1.01515302168983,0.369415972045863,0
03-01-17 04,0,-3.0353708,0.87327570488772,0.539465658777797,0
03-01-17 05,0,-1.5153707,0.692209716919983,0.755187914579281,0
03-01-17 06,0,-0.43537074,0.954382673807278,0.757902246532374,0
03-01-17 07,0,0.09462925,0.956080878130977,1.60486345485768,0
03-01-17 08,0,0.09462925,3.64667836621021,2.14373358239654,0.0891822869990196
03-01-17 09,0,0.33462924,25.8917423166434,2.50954577350942,46.645163317227
03-01-17 10,11.676349,0.26462924,40.5488079044127,2.77195288020491,151.235831503607
03-01-17 11,35.50821,1.0546293,29.3919652158866,2.92136774592951,118.676509163577
03-01-17 12,114.49804,1.9946293,39.4659498602628,3.31602071015841,169.004942884861
03-01-17 13,120.86673,0.6746293,35.3131892409021,3.5676318386372,149.393423532747
03-01-17 14,119.3075,3.314629,24.2602388053211,3.68307611841758,94.8649097394749
03-01-17 15,110.30442,3.4646292,8.87422206611215,3.81586250276322,26.6061482075391
03-01-17 16,72.80231,3.354629,0.730102791260126,4.03266227474757,0
03-01-17 17,21.90386,2.534629,0.382233138982194,4.28997974498104,0
03-01-17 18,0,2.814629,0.602029730510949,4.39632532932465,0
03-01-17 19,0,2.604629,0.631759806244061,4.60487248974314,0
03-01-17 20,0,2.334629,0.639299536026335,4.59199257310278,0
03-01-17 21,0,2.1646292,0.903978263978363,4.70534759974386,0
03-01-17 22,0,1.5646293,0.956628128793924,3.8014016082279,0
03-01-17 23,0,1.2546293,1.00696785081813,2.63148283056241,0
04-01-17 00,0,1.3246293,1.04422239427623,2.38543793099556,0
04-01-17 01,0,1.7546293,0.992741634006647,2.32857922660638,0
04-01-17 02,0,2.034629,0.970035530642633,2.58137453188457,0
04-01-17 03,0,2.064629,0.963982177776115,3.28637106229723,0
04-01-17 04,0,2.104629,0.85275186727015,5.06150291021661,0
04-01-17 05,0,1.5446292,0.75814063935086,4.97235649489464,0
04-01-17 06,0,2.074629,0.720011928943727,4.76506409131868,0
04-01-17 07,0,2.1646292,0.748235327854541,3.89123048141057,0
04-01-17 08,0,1.9546293,8.4888034255471,2.91383495232487,33.3723816317644
04-01-17 09,0,2.2146292,81.1729477870712,4.12948317941163,473.039439003438
04-01-17 10,22.88861,2.6846292,39.8381193565156,4.84464024036572,176.509985613516
04-01-17 11,61.455917,3.324629,68.4874524642321,5.49065486209366,335.478075581469
04-01-17 12,59.4515,2.784629,82.0764631809169,5.75842042042822,408.632853152761
04-01-17 13,90.12731,3.324629,133.206668208699,6.12501203357106,727.122174305142
04-01-17 14,126.857994,3.2346292,119.16265641477,6.52409531220812,715.886817395886
04-01-17 15,86.84332,3.6546292,9.02668826491329,5.14183214395079,17.422701345141
04-01-17 16,57.90003,3.304629,0.853798902385025,4.23886468823263,0
04-01-17 17,12.122225,2.574629,0.992799300145881,3.55237799738067,0
04-01-17 18,0,2.334629,1.0294061534743,3.46902764788487,0
04-01-17 19,0,1.5546293,0.992641130602183,3.54337935010454,0
04-01-17 20,0,0.57462925,0.971429132074696,2.63393794240382,0
04-01-17 21,0,-0.035370752,0.999836276719598,2.5258911913564,0
04-01-17 22,0,-0.20537075,0.963919177381259,2.19879040671231,0
04-01-17 23,0,-0.45537075,0.905796078527927,2.26398933045058,0
05-01-17 00,0,-0.45537075,0.99992386956521,1.8492455141163,0
05-01-17 01,0,-0.33537075,1.02182553129505,1.74181802483238,0
05-01-17 02,0,-0.17537075,0.955694457318339,1.34552392644418,0
05-01-17 03,0,-0.5853707,0.985074240792176,1.36716750374576,0
05-01-17 04,0,-0.9653707,0.985622569343384,1.18390115720196,0
05-01-17 05,0,-1.0153707,1.05056791933046,0.991807389053521,0
05-01-17 06,0,-1.5453707,1.08912968120893,0.721768196116407,0
05-01-17 07,0,-2.5453708,1.19166522578275,-0.0865722488426418,0
05-01-17 08,0,-3.1253707,16.0925490573296,-0.410028045361199,54.5957894914095
05-01-17 09,0,-3.2753708,232.81552643292,0.987646750416326,1765.35083590866
05-01-17 10,27.56356,-2.5653708,313.426615756348,2.16514930153766,1914.39892876375
05-01-17 11,71.640656,-1.8353708,290.288837122954,2.46356029097019,1753.34711408544
05-01-17 12,89.036606,-2.0753708,278.093723458728,2.31070779132246,1731.92178933381
05-01-17 13,54.519146,-2.165371,163.77930796698,1.86425208523695,1063.48778772998
05-01-17 14,71.74614,-1.7453707,138.09718772504,1.38455482201066,993.139430282345
05-01-17 15,91.11842,-2.0453708,30.36069008121,-0.13824297220312,214.047175134298
05-01-17 16,47.461372,-2.2653708,1.42128746924859,-1.13173503016737,0
